tax
0
105.1148804
182.7144896
279.6282845
392.3238404
530.8517684
670.4291061
789.2318339
786.9437596
1176.983963
1126.954765
1079.427026
1034.275675
991.3818914
950.6327968
911.921157
875.1450992
840.2078442
807.017452
775.4865794
745.5322504
717.0756379
690.041856
664.3597632
639.961775
319.9808875
159.9904438
79.99522188
39.99761094
19.99880547
9.999402735
4.999701368
2.499850684
1.249925342
0.624962671
0.312481335
0.156240668
0.078120334
0.039060167
0.019530083
0.009765042
0.004882521
0.00244126
0.00122063
0.000610315
0.000305158
0.000152579
7.63E-05
3.81E-05
1.91E-05
9.54E-06
4.77E-06
2.38E-06
1.19E-06
5.96E-07
2.98E-07
1.49E-07
7.45E-08
3.73E-08
1.86E-08
