"","Region","RegionCode","s1","s2","s3","s4","s5","decade","scenario"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2025,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2025,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2025,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2025,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2025,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2025,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2035,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2035,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2035,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2035,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2035,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2035,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2035,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2035,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2035,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2035,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2035,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2035,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2045,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2045,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2045,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2045,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2045,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2045,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2045,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2045,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2045,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2045,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2045,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2045,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2055,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2055,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2055,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2055,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2055,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2055,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2055,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2055,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2055,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2055,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2055,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2055,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2065,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2065,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2065,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2065,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2065,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2065,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2065,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2065,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2065,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2065,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2065,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2065,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2075,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2075,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2075,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2075,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2075,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2075,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2075,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2075,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2075,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2075,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2075,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2075,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2085,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2085,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2085,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2085,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2085,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2085,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2085,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2085,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2085,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2085,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2085,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2085,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2095,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2095,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2095,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2095,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2095,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2095,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2095,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2095,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2095,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2095,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2095,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2095,"Constant"
1,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,2105,"Constant"
2,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,2105,"Constant"
3,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,2105,"Constant"
4,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,2105,"Constant"
5,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,2105,"Constant"
6,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,2105,"Constant"
7,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,2105,"Constant"
8,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,2105,"Constant"
9,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,2105,"Constant"
10,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,2105,"Constant"
11,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,2105,"Constant"
12,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,2105,"Constant"
